Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
BCD,bcs_fo,USDINR,1002328,FUTCUR,,,USDINR,USDINR29DEC25F,USDINR 29th DEC FUT,2025-12-29,1,0.0025
BCD,bcs_fo,USDINR,1006908,FUTCUR,,,USDINR,USDINR28JAN26F,USDINR 28th JAN26 FUT,2026-01-28,1,0.0025
BCD,bcs_fo,USDINR,1010451,FUTCUR,,,USDINR,USDINR25FEB26F,USDINR 25th FEB26 FUT,2026-02-25,1,0.0025
BCD,bcs_fo,USDINR,1014411,FUTCUR,,,USDINR,USDINR27MAR26F,USDINR 27th MAR26 FUT,2026-03-27,1,0.0025
BCD,bcs_fo,USDINR,1019431,FUTCUR,,,USDINR,USDINR28APR26F,USDINR 28th APR26 FUT,2026-04-28,1,0.0025
BCD,bcs_fo,USDINR,1023495,FUTCUR,,,USDINR,USDINR27MAY26F,USDINR 27th MAY26 FUT,2026-05-27,1,0.0025
BCD,bcs_fo,USDINR,1027212,FUTCUR,,,USDINR,USDINR26JUN26F,USDINR 26th JUN26 FUT,2026-06-26,1,0.0025
BCD,bcs_fo,USDINR,1034658,FUTCUR,,,USDINR,USDINR29JUL26F,USDINR 29th JUL26 FUT,2026-07-29,1,0.0025
BCD,bcs_fo,USDINR,1038618,FUTCUR,,,USDINR,USDINR27AUG26F,USDINR 27th AUG26 FUT,2026-08-27,1,0.0025
BCD,bcs_fo,USDINR,1042492,FUTCUR,,,USDINR,USDINR28SEP26F,USDINR 28th SEP26 FUT,2026-09-28,1,0.0025
BCD,bcs_fo,USDINR,1046732,FUTCUR,,,USDINR,USDINR28OCT26F,USDINR 28th OCT26 FUT,2026-10-28,1,0.0025
BCD,bcs_fo,USDINR,1050583,FUTCUR,,,USDINR,USDINR26NOV26F,USDINR 26th NOV26 FUT,2026-11-26,1,0.0025
BCD,bcs_fo,USDINR,1047195,FUTCUR,,,USDINR,USDINR16JAN26F,USDINR 16th JAN26 FUT,2026-01-16,1,0.0025
BCD,bcs_fo,USDINR,1052484,FUTCUR,,,USDINR,USDINR20FEB26F,USDINR 20th FEB26 FUT,2026-02-20,1,0.0025
BCD,bcs_fo,USDINR,1046158,FUTCUR,,,USDINR,USDINR09JAN26F,USDINR 9th JAN26 FUT,2026-01-09,1,0.0025
BCD,bcs_fo,USDINR,1051042,FUTCUR,,,USDINR,USDINR13FEB26F,USDINR 13th FEB26 FUT,2026-02-13,1,0.0025
BCD,bcs_fo,USDINR,1045564,FUTCUR,,,USDINR,USDINR02JAN26F,USDINR 2nd JAN26 FUT,2026-01-02,1,0.0025
BCD,bcs_fo,USDINR,1049638,FUTCUR,,,USDINR,USDINR06FEB26F,USDINR 6th FEB26 FUT,2026-02-06,1,0.0025
BCD,bcs_fo,USDINR,1048882,FUTCUR,,,USDINR,USDINR30JAN26F,USDINR 30th JAN26 FUT,2026-01-30,1,0.0025
BCD,bcs_fo,USDINR,1044597,FUTCUR,,,USDINR,USDINR26DEC25F,USDINR 26th DEC FUT,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1054049,FUTCUR,,,USDINR,USDINR06MAR26F,USDINR 6th MAR26 FUT,2026-03-06,1,0.0025
BCD,bcs_fo,USDINR,1048274,FUTCUR,,,USDINR,USDINR23JAN26F,USDINR 23rd JAN26 FUT,2026-01-23,1,0.0025
BCD,bcs_fo,USDINR,1053094,FUTCUR,,,USDINR,USDINR27FEB26F,USDINR 27th FEB26 FUT,2026-02-27,1,0.0025
BCD,bcs_fo,GBPINR,1002329,FUTCUR,,,GBPINR,GBPINR29DEC25F,GBPINR 29th DEC FUT,2025-12-29,1,0.0025
BCD,bcs_fo,GBPINR,1006909,FUTCUR,,,GBPINR,GBPINR28JAN26F,GBPINR 28th JAN26 FUT,2026-01-28,1,0.0025
