Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,pdc
BFO,bse_fo,APLAPOLLO,1117307,SO,CE,1520,AATL,APLAPOLLO25DEC1520CE,APLAPOLLO 24th DEC 1520 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1104354,SO,CE,1540,AATL,APLAPOLLO25DEC1540CE,APLAPOLLO 24th DEC 1540 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1113641,SO,CE,1560,AATL,APLAPOLLO25DEC1560CE,APLAPOLLO 24th DEC 1560 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1105215,SO,CE,1580,AATL,APLAPOLLO25DEC1580CE,APLAPOLLO 24th DEC 1580 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1115312,SO,CE,1600,AATL,APLAPOLLO25DEC1600CE,APLAPOLLO 24th DEC 1600 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1107295,SO,CE,1620,AATL,APLAPOLLO25DEC1620CE,APLAPOLLO 24th DEC 1620 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1115933,SO,CE,1640,AATL,APLAPOLLO25DEC1640CE,APLAPOLLO 24th DEC 1640 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1110763,SO,CE,1660,AATL,APLAPOLLO25DEC1660CE,APLAPOLLO 24th DEC 1660 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1101801,SO,CE,1680,AATL,APLAPOLLO25DEC1680CE,APLAPOLLO 24th DEC 1680 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1104317,SO,CE,1700,AATL,APLAPOLLO25DEC1700CE,APLAPOLLO 24th DEC 1700 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1113619,SO,CE,1720,AATL,APLAPOLLO25DEC1720CE,APLAPOLLO 24th DEC 1720 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1105189,SO,CE,1740,AATL,APLAPOLLO25DEC1740CE,APLAPOLLO 24th DEC 1740 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1114426,SO,CE,1760,AATL,APLAPOLLO25DEC1760CE,APLAPOLLO 24th DEC 1760 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1105906,SO,CE,1780,AATL,APLAPOLLO25DEC1780CE,APLAPOLLO 24th DEC 1780 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1115916,SO,CE,1800,AATL,APLAPOLLO25DEC1800CE,APLAPOLLO 24th DEC 1800 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1110742,SO,CE,1820,AATL,APLAPOLLO25DEC1820CE,APLAPOLLO 24th DEC 1820 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1118449,SO,CE,1840,AATL,APLAPOLLO25DEC1840CE,APLAPOLLO 24th DEC 1840 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1128127,SO,CE,1860,AATL,APLAPOLLO25DEC1860CE,APLAPOLLO 24th DEC 1860 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1127520,SO,CE,1880,AATL,APLAPOLLO25DEC1880CE,APLAPOLLO 24th DEC 1880 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1133460,SO,CE,1900,AATL,APLAPOLLO25DEC1900CE,APLAPOLLO 24th DEC 1900 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1135820,SO,CE,1920,AATL,APLAPOLLO25DEC1920CE,APLAPOLLO 24th DEC 1920 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1136500,SO,CE,1940,AATL,APLAPOLLO25DEC1940CE,APLAPOLLO 24th DEC 1940 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,823616,SO,CE,1960,AATL,APLAPOLLO25DEC1960CE,APLAPOLLO 24th DEC 1960 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,823766,SO,CE,1980,AATL,APLAPOLLO25DEC1980CE,APLAPOLLO 24th DEC 1980 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,823931,SO,CE,2000,AATL,APLAPOLLO25DEC2000CE,APLAPOLLO 24th DEC 2000 CE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1117744,SO,PE,1520,AATL,APLAPOLLO25DEC1520PE,APLAPOLLO 24th DEC 1520 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1107395,SO,PE,1540,AATL,APLAPOLLO25DEC1540PE,APLAPOLLO 24th DEC 1540 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1116022,SO,PE,1560,AATL,APLAPOLLO25DEC1560PE,APLAPOLLO 24th DEC 1560 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1110856,SO,PE,1580,AATL,APLAPOLLO25DEC1580PE,APLAPOLLO 24th DEC 1580 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1103012,SO,PE,1600,AATL,APLAPOLLO25DEC1600PE,APLAPOLLO 24th DEC 1600 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1112514,SO,PE,1620,AATL,APLAPOLLO25DEC1620PE,APLAPOLLO 24th DEC 1620 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1104050,SO,PE,1640,AATL,APLAPOLLO25DEC1640PE,APLAPOLLO 24th DEC 1640 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1113385,SO,PE,1660,AATL,APLAPOLLO25DEC1660PE,APLAPOLLO 24th DEC 1660 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1105016,SO,PE,1680,AATL,APLAPOLLO25DEC1680PE,APLAPOLLO 24th DEC 1680 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1107373,SO,PE,1700,AATL,APLAPOLLO25DEC1700PE,APLAPOLLO 24th DEC 1700 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1116005,SO,PE,1720,AATL,APLAPOLLO25DEC1720PE,APLAPOLLO 24th DEC 1720 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1110834,SO,PE,1740,AATL,APLAPOLLO25DEC1740PE,APLAPOLLO 24th DEC 1740 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1101862,SO,PE,1760,AATL,APLAPOLLO25DEC1760PE,APLAPOLLO 24th DEC 1760 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1111514,SO,PE,1780,AATL,APLAPOLLO25DEC1780PE,APLAPOLLO 24th DEC 1780 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1103981,SO,PE,1800,AATL,APLAPOLLO25DEC1800PE,APLAPOLLO 24th DEC 1800 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1113363,SO,PE,1820,AATL,APLAPOLLO25DEC1820PE,APLAPOLLO 24th DEC 1820 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1118262,SO,PE,1840,AATL,APLAPOLLO25DEC1840PE,APLAPOLLO 24th DEC 1840 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1128500,SO,PE,1860,AATL,APLAPOLLO25DEC1860PE,APLAPOLLO 24th DEC 1860 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1127777,SO,PE,1880,AATL,APLAPOLLO25DEC1880PE,APLAPOLLO 24th DEC 1880 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1133410,SO,PE,1900,AATL,APLAPOLLO25DEC1900PE,APLAPOLLO 24th DEC 1900 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1135777,SO,PE,1920,AATL,APLAPOLLO25DEC1920PE,APLAPOLLO 24th DEC 1920 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1136661,SO,PE,1940,AATL,APLAPOLLO25DEC1940PE,APLAPOLLO 24th DEC 1940 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,823502,SO,PE,1960,AATL,APLAPOLLO25DEC1960PE,APLAPOLLO 24th DEC 1960 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,823842,SO,PE,1980,AATL,APLAPOLLO25DEC1980PE,APLAPOLLO 24th DEC 1980 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,823667,SO,PE,2000,AATL,APLAPOLLO25DEC2000PE,APLAPOLLO 24th DEC 2000 PE,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1169767,SO,CE,1580,AATL,APLAPOLLO26FEB1580CE,APLAPOLLO 26th FEB26 1580 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1164004,SO,CE,1600,AATL,APLAPOLLO26FEB1600CE,APLAPOLLO 26th FEB26 1600 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1167949,SO,CE,1620,AATL,APLAPOLLO26FEB1620CE,APLAPOLLO 26th FEB26 1620 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1164484,SO,CE,1640,AATL,APLAPOLLO26FEB1640CE,APLAPOLLO 26th FEB26 1640 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1168412,SO,CE,1660,AATL,APLAPOLLO26FEB1660CE,APLAPOLLO 26th FEB26 1660 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1164970,SO,CE,1680,AATL,APLAPOLLO26FEB1680CE,APLAPOLLO 26th FEB26 1680 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1166316,SO,CE,1700,AATL,APLAPOLLO26FEB1700CE,APLAPOLLO 26th FEB26 1700 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1162768,SO,CE,1720,AATL,APLAPOLLO26FEB1720CE,APLAPOLLO 26th FEB26 1720 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1166796,SO,CE,1740,AATL,APLAPOLLO26FEB1740CE,APLAPOLLO 26th FEB26 1740 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1163283,SO,CE,1760,AATL,APLAPOLLO26FEB1760CE,APLAPOLLO 26th FEB26 1760 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1167330,SO,CE,1780,AATL,APLAPOLLO26FEB1780CE,APLAPOLLO 26th FEB26 1780 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1164475,SO,CE,1800,AATL,APLAPOLLO26FEB1800CE,APLAPOLLO 26th FEB26 1800 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1168399,SO,CE,1820,AATL,APLAPOLLO26FEB1820CE,APLAPOLLO 26th FEB26 1820 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1164952,SO,CE,1840,AATL,APLAPOLLO26FEB1840CE,APLAPOLLO 26th FEB26 1840 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1168883,SO,CE,1860,AATL,APLAPOLLO26FEB1860CE,APLAPOLLO 26th FEB26 1860 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1165479,SO,CE,1880,AATL,APLAPOLLO26FEB1880CE,APLAPOLLO 26th FEB26 1880 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1171356,SO,CE,1900,AATL,APLAPOLLO26FEB1900CE,APLAPOLLO 26th FEB26 1900 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1172144,SO,CE,1920,AATL,APLAPOLLO26FEB1920CE,APLAPOLLO 26th FEB26 1920 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,823042,SO,CE,1940,AATL,APLAPOLLO26FEB1940CE,APLAPOLLO 26th FEB26 1940 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,823593,SO,CE,1960,AATL,APLAPOLLO26FEB1960CE,APLAPOLLO 26th FEB26 1960 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,823918,SO,CE,1980,AATL,APLAPOLLO26FEB1980CE,APLAPOLLO 26th FEB26 1980 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,823727,SO,CE,2000,AATL,APLAPOLLO26FEB2000CE,APLAPOLLO 26th FEB26 2000 CE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1169932,SO,PE,1580,AATL,APLAPOLLO26FEB1580PE,APLAPOLLO 26th FEB26 1580 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1165759,SO,PE,1600,AATL,APLAPOLLO26FEB1600PE,APLAPOLLO 26th FEB26 1600 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1162147,SO,PE,1620,AATL,APLAPOLLO26FEB1620PE,APLAPOLLO 26th FEB26 1620 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1166207,SO,PE,1640,AATL,APLAPOLLO26FEB1640PE,APLAPOLLO 26th FEB26 1640 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1162660,SO,PE,1660,AATL,APLAPOLLO26FEB1660PE,APLAPOLLO 26th FEB26 1660 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1166682,SO,PE,1680,AATL,APLAPOLLO26FEB1680PE,APLAPOLLO 26th FEB26 1680 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1167993,SO,PE,1700,AATL,APLAPOLLO26FEB1700PE,APLAPOLLO 26th FEB26 1700 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1164525,SO,PE,1720,AATL,APLAPOLLO26FEB1720PE,APLAPOLLO 26th FEB26 1720 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1168455,SO,PE,1740,AATL,APLAPOLLO26FEB1740PE,APLAPOLLO 26th FEB26 1740 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1165027,SO,PE,1760,AATL,APLAPOLLO26FEB1760PE,APLAPOLLO 26th FEB26 1760 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1168951,SO,PE,1780,AATL,APLAPOLLO26FEB1780PE,APLAPOLLO 26th FEB26 1780 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1166190,SO,PE,1800,AATL,APLAPOLLO26FEB1800PE,APLAPOLLO 26th FEB26 1800 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1162645,SO,PE,1820,AATL,APLAPOLLO26FEB1820PE,APLAPOLLO 26th FEB26 1820 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1166665,SO,PE,1840,AATL,APLAPOLLO26FEB1840PE,APLAPOLLO 26th FEB26 1840 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1163134,SO,PE,1860,AATL,APLAPOLLO26FEB1860PE,APLAPOLLO 26th FEB26 1860 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1167175,SO,PE,1880,AATL,APLAPOLLO26FEB1880PE,APLAPOLLO 26th FEB26 1880 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1171005,SO,PE,1900,AATL,APLAPOLLO26FEB1900PE,APLAPOLLO 26th FEB26 1900 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1172134,SO,PE,1920,AATL,APLAPOLLO26FEB1920PE,APLAPOLLO 26th FEB26 1920 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,823465,SO,PE,1940,AATL,APLAPOLLO26FEB1940PE,APLAPOLLO 26th FEB26 1940 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,823559,SO,PE,1960,AATL,APLAPOLLO26FEB1960PE,APLAPOLLO 26th FEB26 1960 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,823653,SO,PE,1980,AATL,APLAPOLLO26FEB1980PE,APLAPOLLO 26th FEB26 1980 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,823799,SO,PE,2000,AATL,APLAPOLLO26FEB2000PE,APLAPOLLO 26th FEB26 2000 PE,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1167873,SF,XX,0,AATL,APLAPOLLO26FEBFUT,APLAPOLLO 26th FEB26 FUT,2026-02-26,350,0.05,
BFO,bse_fo,APLAPOLLO,1106807,SF,XX,0,AATL,APLAPOLLO25DECFUT,APLAPOLLO 24th DEC FUT,2025-12-24,350,0.05,
BFO,bse_fo,APLAPOLLO,1148094,SF,XX,0,AATL,APLAPOLLO26JANFUT,APLAPOLLO 29th JAN26 FUT,2026-01-29,350,0.05,
BFO,bse_fo,APLAPOLLO,1161266,SO,CE,1560,AATL,APLAPOLLO26JAN1560CE,APLAPOLLO 29th JAN26 1560 CE,2026-01-29,350,0.05,
BFO,bse_fo,APLAPOLLO,1159703,SO,CE,1580,AATL,APLAPOLLO26JAN1580CE,APLAPOLLO 29th JAN26 1580 CE,2026-01-29,350,0.05,
BFO,bse_fo,APLAPOLLO,1159600,SO,CE,1600,AATL,APLAPOLLO26JAN1600CE,APLAPOLLO 29th JAN26 1600 CE,2026-01-29,350,0.05,
BFO,bse_fo,APLAPOLLO,1158267,SO,CE,1620,AATL,APLAPOLLO26JAN1620CE,APLAPOLLO 29th JAN26 1620 CE,2026-01-29,350,0.05,
BFO,bse_fo,APLAPOLLO,1138498,SO,CE,1640,AATL,APLAPOLLO26JAN1640CE,APLAPOLLO 29th JAN26 1640 CE,2026-01-29,350,0.05,
BFO,bse_fo,APLAPOLLO,1146854,SO,CE,1660,AATL,APLAPOLLO26JAN1660CE,APLAPOLLO 29th JAN26 1660 CE,2026-01-29,350,0.05,
BFO,bse_fo,APLAPOLLO,1139380,SO,CE,1680,AATL,APLAPOLLO26JAN1680CE,APLAPOLLO 29th JAN26 1680 CE,2026-01-29,350,0.05,
BFO,bse_fo,APLAPOLLO,1148897,SO,CE,1700,AATL,APLAPOLLO26JAN1700CE,APLAPOLLO 29th JAN26 1700 CE,2026-01-29,350,0.05,
