Exch,Exchange Segment,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Lot Size,Tick Size,Trading Symbol
BSE,bse_cm,MCL,200072,E,MADHAV COPPER LIMITED,MCL,1,0.01,MCL
BSE,bse_cm,RKEC,200105,E,RKEC PROJECTS LIMITED,RKEC,1,0.01,RKEC
BSE,bse_cm,AMJUMBO,200184,E,A AND M JUMBO BAGS LTD,AMJUMBO,8000,0.05,AMJUMBO
BSE,bse_cm,SMVD,200223,E,SMVD POLY PACK LIMITED,SMVD,4040,0.05,SMVD
BSE,bse_cm,JMA,200283,E,JULLUNDUR MOT AGENCY LTD,JMA,1,0.01,JMA
BSE,bse_cm,SINTERCOM,200306,E,SINTERCOM INDIA LIMITED,SINTERCOM,1,0.01,SINTERCOM
BSE,bse_cm,MPTODAY,200405,E,M P TODAY MEDIA LIMITED,MPTODAY,2000,0.05,MPTODAY
BSE,bse_cm,JETKNIT,200428,E,JET KNITWEARS LTD.,JETKNIT,750,0.05,JETKNIT
BSE,bse_cm,DRL$,200454,E,DHANUKA REALTY LIMITED,DRL$,6000,0.05,DRL$
BSE,bse_cm,NIRAJISPAT,200475,E,NIRAJ ISPAT IND LTD,NIRAJISPAT,1,0.01,NIRAJISPAT
BSE,bse_cm,MAHICKRA,200486,E,MAHICKRA CHEMICAL LIMITED,MAHICKRA,750,0.05,MAHICKRA
BSE,bse_cm,SAKAR,200519,E,SAKAR HEALTHCARE LIMITED,SAKAR,1,0.05,SAKAR
BSE,bse_cm,ELGIRUBCO,200535,E,ELGI RUBBER CO. LTD,ELGIRUBCO,1,0.01,ELGIRUBCO
BSE,bse_cm,CROWN,200540,E,CROWN LIFTERS LIMITED,CROWN,1,0.01,CROWN
BSE,bse_cm,MILTON,200558,E,MILTON INDUSTRIES LIMITED,MILTON,4400,0.05,MILTON
BSE,bse_cm,SURANI,200566,E,SURANI STEEL TUBES LTD.,SURANI,200,0.05,SURANI
BSE,bse_cm,FROG,200669,E,FROG INNOVATIONS LIMITED,FROG,400,0.05,FROG
BSE,bse_cm,JALAN,200738,E,JALAN TRANSOLU. INDIA LTD,JALAN,3000,0.05,JALAN
BSE,bse_cm,AISL,200742,E,ANI INTEGRATED SERV LTD.,AISL,600,0.05,AISL
BSE,bse_cm,TEMBO,200761,E,TEMBO GLOBAL IND LTD,TEMBO,1,0.05,TEMBO
BSE,bse_cm,UWCSL,200766,E,ULTRA WIRING CONN SYS LTD,UWCSL,1000,0.05,UWCSL
BSE,bse_cm,TSFINV,200995,E,TSF INVESTMENTS LIMITED,TSFINV,1,0.05,TSFINV
BSE,bse_cm,VSCL,201000,E,VADIVARHE SPCLTY CHEM LTD,VSCL,3000,0.05,VSCL
BSE,bse_cm,ICEMAKE,201038,E,ICE MAKE REFRIGERAT LTD,ICEMAKE,1,0.05,ICEMAKE
